Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,1.5,0,0,255,255,255
250,1.4947,0,0.0978,255,255,255
500,1.4752,0,0.4593,255,255,255
750,1.4426,0,1.062,255,255,255
1000,1.3984,0,1.8827,255,255,255
1250,1.3437,0,2.902,255,255,255
1500,1.2798,0,4.0941,255,255,255
1750,1.208,0,5.4333,255,255,255
2000,1.1297,0,6.8936,255,255,255
2250,1.0461,0,8.4515,255,255,255
2500,0.9584,0,10.086,255,255,255
2750,0.8678,0,11.7732,255,255,255
3000,0.7756,0,13.489,255,255,255
3250,0.6832,0,15.2095,255,255,255
3500,0.5919,0,16.9107,255,255,255
3750,0.5028,0,18.5684,255,255,255
4000,0.4174,0,20.1587,255,255,255
4250,0.3369,0,21.6575,255,255,255
4500,0.2626,0,23.0408,255,255,255
4750,0.1957,0,24.2846,255,255,255
5000,0.1377,0,25.3649,255,255,255
5250,0.0897,0,26.2576,255,255,255
5500,0.0531,0,26.9387,255,255,255
5750,0.0292,0,27.3841,255,255,255
6000,0.0192,0,27.57,255,255,255
6250,0.019,0,27.574,255,255,255
6500,0.019,0,27.574,255,255,255
6750,0.019,0,27.574,255,255,255
7000,0.019,0,27.574,255,255,255
7250,0.019,0,27.574,255,255,255
7500,0.019,0,27.574,255,255,255
7750,0.019,0,27.574,255,255,255
8000,0.019,0,27.574,255,255,255
8250,0.019,0,27.574,255,255,255
8500,0.019,0,27.574,255,255,255
8750,0.019,0,27.574,255,255,255
9000,0.019,0,27.574,255,255,255
9250,0.019,0,27.574,255,255,255
9500,0.019,0,27.574,255,255,255
9750,0.019,0,27.574,255,255,255
10000,0.019,0,27.574,255,255,255
10250,0.019,0,27.574,255,255,255
