Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-1.5,-3,0,255,255,255
250,-1.5029,-3.0011,0.0832,255,255,255
500,-1.5136,-3.0051,0.3909,255,255,255
750,-1.5314,-3.0117,0.9042,255,255,255
1000,-1.5555,-3.0205,1.6035,255,255,255
1250,-1.5853,-3.0314,2.4719,255,255,255
1500,-1.6202,-3.0444,3.4876,255,255,255
1750,-1.6595,-3.059,4.6285,255,255,255
2000,-1.7025,-3.0752,5.8725,255,255,255
2250,-1.7484,-3.0925,7.1994,255,255,255
2500,-1.7965,-3.1106,8.5918,255,255,255
2750,-1.8462,-3.1292,10.0291,255,255,255
3000,-1.8968,-3.1481,11.4909,255,255,255
3250,-1.9475,-3.167,12.9567,255,255,255
3500,-1.9976,-3.1856,14.4061,255,255,255
3750,-2.0465,-3.2038,15.8185,255,255,255
4000,-2.0934,-3.2212,17.1734,255,255,255
4250,-2.1376,-3.2375,18.4505,255,255,255
4500,-2.1783,-3.2526,19.6292,255,255,255
4750,-2.215,-3.2662,20.689,255,255,255
5000,-2.2469,-3.278,21.6095,255,255,255
5250,-2.2732,-3.2877,22.3702,255,255,255
5500,-2.2933,-3.2951,22.9506,255,255,255
5750,-2.3064,-3.2999,23.3302,255,255,255
6000,-2.3119,-3.302,23.4886,255,255,255
6250,-2.312,-3.302,23.492,255,255,255
6500,-2.312,-3.302,23.492,255,255,255
6750,-2.312,-3.302,23.492,255,255,255
7000,-2.312,-3.302,23.492,255,255,255
7250,-2.312,-3.302,23.492,255,255,255
7500,-2.312,-3.302,23.492,255,255,255
7750,-2.312,-3.302,23.492,255,255,255
8000,-2.312,-3.302,23.492,255,255,255
8250,-2.312,-3.302,23.492,255,255,255
8500,-2.312,-3.302,23.492,255,255,255
8750,-2.312,-3.302,23.492,255,255,255
9000,-2.312,-3.302,23.492,255,255,255
9250,-2.312,-3.302,23.492,255,255,255
9500,-2.312,-3.302,23.492,255,255,255
9750,-2.312,-3.302,23.492,255,255,255
10000,-2.312,-3.302,23.492,255,255,255
10250,-2.312,-3.302,23.492,255,255,255
