Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-1.5,0,0,255,255,255
250,-1.4943,0,0.071,255,255,255
500,-1.473,0,0.3333,255,255,255
750,-1.4373,0,0.7707,255,255,255
1000,-1.3886,0,1.3666,255,255,255
1250,-1.3279,0,2.1067,255,255,255
1500,-1.2569,0,2.9723,255,255,255
1750,-1.1772,0,3.9446,255,255,255
2000,-1.0902,0,5.0046,255,255,255
2250,-0.9975,0,6.1353,255,255,255
2500,-0.9002,0,7.3218,255,255,255
2750,-0.7998,0,8.5466,255,255,255
3000,-0.6978,0,9.7922,255,255,255
3250,-0.5955,0,11.0413,255,255,255
3500,-0.4944,0,12.2763,255,255,255
3750,-0.3959,0,13.4799,255,255,255
4000,-0.3014,0,14.6346,255,255,255
4250,-0.2123,0,15.7228,255,255,255
4500,-0.1302,0,16.7273,255,255,255
4750,-0.0563,0,17.6304,255,255,255
5000,0.0078,0,18.4148,255,255,255
5250,0.0608,0,19.063,255,255,255
5500,0.1013,0,19.5576,255,255,255
5750,0.1277,0,19.8811,255,255,255
6000,0.1388,0,20.0161,255,255,255
6250,0.139,0,20.019,255,255,255
6500,0.139,0,20.019,255,255,255
6750,0.139,0,20.019,255,255,255
7000,0.139,0,20.019,255,255,255
7250,0.139,0,20.019,255,255,255
7500,0.139,0,20.019,255,255,255
7750,0.139,0,20.019,255,255,255
8000,0.139,0,20.019,255,255,255
8250,0.139,0,20.019,255,255,255
8500,0.139,0,20.019,255,255,255
8750,0.139,0,20.019,255,255,255
9000,0.139,0,20.019,255,255,255
9250,0.139,0,20.019,255,255,255
9500,0.139,0,20.019,255,255,255
9750,0.139,0,20.019,255,255,255
10000,0.139,0,20.019,255,255,255
10250,0.139,0,20.019,255,255,255
