Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,6,-3,0,255,255,255
250,5.9951,-2.9981,0.0197,255,255,255
500,5.9767,-2.9909,0.0933,255,255,255
750,5.9456,-2.9788,0.2181,255,255,255
1000,5.9025,-2.962,0.3905,255,255,255
1250,5.8485,-2.941,0.6067,255,255,255
1500,5.7843,-2.916,0.863,255,255,255
1750,5.711,-2.8875,1.156,255,255,255
2000,5.6293,-2.8557,1.4819,255,255,255
2250,5.5403,-2.8211,1.837,255,255,255
2500,5.4447,-2.784,2.2177,255,255,255
2750,5.3435,-2.7448,2.6204,255,255,255
3000,5.2376,-2.7037,3.0417,255,255,255
3250,5.1279,-2.6612,3.4781,255,255,255
3500,5.0154,-2.6174,3.926,255,255,255
3750,4.901,-2.5729,4.382,255,255,255
4000,4.7855,-2.528,4.8423,255,255,255
4250,4.6698,-2.483,5.3034,255,255,255
4500,4.5549,-2.4382,5.7615,255,255,255
4750,4.4417,-2.3941,6.2131,255,255,255
5000,4.3311,-2.351,6.6546,255,255,255
5250,4.2239,-2.3092,7.0824,255,255,255
5500,4.1211,-2.2691,7.4928,255,255,255
5750,4.0236,-2.231,7.8822,255,255,255
6000,3.9322,-2.1954,8.247,255,255,255
6250,3.848,-2.1625,8.5836,255,255,255
6500,3.7717,-2.1327,8.8883,255,255,255
6750,3.7043,-2.1063,9.1575,255,255,255
7000,3.6467,-2.0838,9.3877,255,255,255
7250,3.5998,-2.0655,9.5752,255,255,255
7500,3.5644,-2.0517,9.7163,255,255,255
7750,3.5416,-2.0428,9.8075,255,255,255
8000,3.5322,-2.0391,9.8452,255,255,255
8250,3.532,-2.039,9.846,255,255,255
8500,3.532,-2.039,9.846,255,255,255
8750,3.532,-2.039,9.846,255,255,255
9000,3.532,-2.039,9.846,255,255,255
9250,3.532,-2.039,9.846,255,255,255
9500,3.532,-2.039,9.846,255,255,255
9750,3.532,-2.039,9.846,255,255,255
10000,3.532,-2.039,9.846,255,255,255
10250,3.532,-2.039,9.846,255,255,255
