Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,0,-3,0,255,255,255
250,-0.0017,-3.002,0.0197,255,255,255
500,-0.0081,-3.0094,0.0933,255,255,255
750,-0.019,-3.022,0.2181,255,255,255
1000,-0.034,-3.0394,0.3905,255,255,255
1250,-0.0527,-3.0611,0.6067,255,255,255
1500,-0.0749,-3.0869,0.863,255,255,255
1750,-0.1002,-3.1164,1.156,255,255,255
2000,-0.1283,-3.1491,1.4819,255,255,255
2250,-0.1589,-3.1847,1.837,255,255,255
2500,-0.1916,-3.2228,2.2177,255,255,255
2750,-0.2261,-3.2631,2.6204,255,255,255
3000,-0.2621,-3.3051,3.0417,255,255,255
3250,-0.2994,-3.3488,3.4781,255,255,255
3500,-0.3378,-3.3937,3.926,255,255,255
3750,-0.377,-3.4395,4.382,255,255,255
4000,-0.4165,-3.4857,4.8423,255,255,255
4250,-0.4561,-3.532,5.3034,255,255,255
4500,-0.4956,-3.5781,5.7615,255,255,255
4750,-0.5345,-3.6235,6.2131,255,255,255
5000,-0.5725,-3.668,6.6546,255,255,255
5250,-0.6094,-3.7111,7.0824,255,255,255
5500,-0.6448,-3.7525,7.4928,255,255,255
5750,-0.6784,-3.7917,7.8822,255,255,255
6000,-0.7098,-3.8285,8.247,255,255,255
6250,-0.7389,-3.8625,8.5836,255,255,255
6500,-0.7652,-3.8932,8.8883,255,255,255
6750,-0.7885,-3.9204,9.1575,255,255,255
7000,-0.8084,-3.9437,9.3877,255,255,255
7250,-0.8246,-3.9626,9.5752,255,255,255
7500,-0.8368,-3.9769,9.7163,255,255,255
7750,-0.8447,-3.9861,9.8075,255,255,255
8000,-0.8479,-3.9899,9.8452,255,255,255
8250,-0.848,-3.99,9.846,255,255,255
8500,-0.848,-3.99,9.846,255,255,255
8750,-0.848,-3.99,9.846,255,255,255
9000,-0.848,-3.99,9.846,255,255,255
9250,-0.848,-3.99,9.846,255,255,255
9500,-0.848,-3.99,9.846,255,255,255
9750,-0.848,-3.99,9.846,255,255,255
10000,-0.848,-3.99,9.846,255,255,255
10250,-0.848,-3.99,9.846,255,255,255
