Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,6,0,0,255,255,255
250,5.9961,-0.0009,0.0197,255,255,255
500,5.9816,-0.0041,0.0933,255,255,255
750,5.9569,-0.0095,0.2181,255,255,255
1000,5.9229,-0.017,0.3905,255,255,255
1250,5.8802,-0.0265,0.6067,255,255,255
1500,5.8296,-0.0376,0.863,255,255,255
1750,5.7718,-0.0504,1.156,255,255,255
2000,5.7075,-0.0646,1.4819,255,255,255
2250,5.6374,-0.08,1.837,255,255,255
2500,5.5622,-0.0965,2.2177,255,255,255
2750,5.4827,-0.114,2.6204,255,255,255
3000,5.3996,-0.1322,3.0417,255,255,255
3250,5.3135,-0.1511,3.4781,255,255,255
3500,5.225,-0.1705,3.926,255,255,255
3750,5.135,-0.1902,4.382,255,255,255
4000,5.0441,-0.2101,4.8423,255,255,255
4250,4.9531,-0.23,5.3034,255,255,255
4500,4.8626,-0.2498,5.7615,255,255,255
4750,4.7735,-0.2693,6.2131,255,255,255
5000,4.6863,-0.2884,6.6546,255,255,255
5250,4.6018,-0.3068,7.0824,255,255,255
5500,4.5208,-0.3245,7.4928,255,255,255
5750,4.4439,-0.3413,7.8822,255,255,255
6000,4.3718,-0.3571,8.247,255,255,255
6250,4.3053,-0.3716,8.5836,255,255,255
6500,4.2452,-0.3847,8.8883,255,255,255
6750,4.192,-0.3963,9.1575,255,255,255
7000,4.1465,-0.4062,9.3877,255,255,255
7250,4.1095,-0.4143,9.5752,255,255,255
7500,4.0816,-0.4204,9.7163,255,255,255
7750,4.0636,-0.4243,9.8075,255,255,255
8000,4.0562,-0.426,9.8452,255,255,255
8250,4.056,-0.426,9.846,255,255,255
8500,4.056,-0.426,9.846,255,255,255
8750,4.056,-0.426,9.846,255,255,255
9000,4.056,-0.426,9.846,255,255,255
9250,4.056,-0.426,9.846,255,255,255
9500,4.056,-0.426,9.846,255,255,255
9750,4.056,-0.426,9.846,255,255,255
10000,4.056,-0.426,9.846,255,255,255
10250,4.056,-0.426,9.846,255,255,255
