Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-3,-3,0,255,255,255
250,-2.9988,-3.0006,0.0197,255,255,255
500,-2.9943,-3.0029,0.0933,255,255,255
750,-2.9866,-3.0067,0.2181,255,255,255
1000,-2.9761,-3.012,0.3905,255,255,255
1250,-2.9628,-3.0187,0.6067,255,255,255
1500,-2.9471,-3.0265,0.863,255,255,255
1750,-2.9291,-3.0355,1.156,255,255,255
2000,-2.9091,-3.0454,1.4819,255,255,255
2250,-2.8873,-3.0562,1.837,255,255,255
2500,-2.864,-3.0678,2.2177,255,255,255
2750,-2.8393,-3.0799,2.6204,255,255,255
3000,-2.8134,-3.0926,3.0417,255,255,255
3250,-2.7867,-3.1058,3.4781,255,255,255
3500,-2.7592,-3.1193,3.926,255,255,255
3750,-2.7313,-3.1331,4.382,255,255,255
4000,-2.7031,-3.1471,4.8423,255,255,255
4250,-2.6748,-3.1611,5.3034,255,255,255
4500,-2.6468,-3.1751,5.7615,255,255,255
4750,-2.6191,-3.1888,6.2131,255,255,255
5000,-2.5921,-3.2023,6.6546,255,255,255
5250,-2.566,-3.2154,7.0824,255,255,255
5500,-2.5409,-3.2279,7.4928,255,255,255
5750,-2.517,-3.2398,7.8822,255,255,255
6000,-2.4947,-3.251,8.247,255,255,255
6250,-2.4742,-3.2613,8.5836,255,255,255
6500,-2.4555,-3.2706,8.8883,255,255,255
6750,-2.4391,-3.2789,9.1575,255,255,255
7000,-2.425,-3.2859,9.3877,255,255,255
7250,-2.4135,-3.2917,9.5752,255,255,255
7500,-2.4049,-3.296,9.7163,255,255,255
7750,-2.3993,-3.2988,9.8075,255,255,255
8000,-2.397,-3.3,9.8452,255,255,255
8250,-2.397,-3.3,9.846,255,255,255
8500,-2.397,-3.3,9.846,255,255,255
8750,-2.397,-3.3,9.846,255,255,255
9000,-2.397,-3.3,9.846,255,255,255
9250,-2.397,-3.3,9.846,255,255,255
9500,-2.397,-3.3,9.846,255,255,255
9750,-2.397,-3.3,9.846,255,255,255
10000,-2.397,-3.3,9.846,255,255,255
10250,-2.397,-3.3,9.846,255,255,255
