Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,0,3,0,255,255,255
250,0,3.0022,0.0197,255,255,255
500,0,3.0103,0.0933,255,255,255
750,0,3.024,0.2181,255,255,255
1000,0,3.0429,0.3905,255,255,255
1250,0,3.0666,0.6067,255,255,255
1500,0,3.0947,0.863,255,255,255
1750,0,3.1269,1.156,255,255,255
2000,0,3.1626,1.4819,255,255,255
2250,0,3.2015,1.837,255,255,255
2500,0,3.2433,2.2177,255,255,255
2750,0,3.2874,2.6204,255,255,255
3000,0,3.3335,3.0417,255,255,255
3250,0,3.3813,3.4781,255,255,255
3500,0,3.4304,3.926,255,255,255
3750,0,3.4803,4.382,255,255,255
4000,0,3.5307,4.8423,255,255,255
4250,0,3.5812,5.3034,255,255,255
4500,0,3.6314,5.7615,255,255,255
4750,0,3.6809,6.2131,255,255,255
5000,0,3.7293,6.6546,255,255,255
5250,0,3.7762,7.0824,255,255,255
5500,0,3.8211,7.4928,255,255,255
5750,0,3.8638,7.8822,255,255,255
6000,0,3.9038,8.247,255,255,255
6250,0,3.9407,8.5836,255,255,255
6500,0,3.974,8.8883,255,255,255
6750,0,4.0036,9.1575,255,255,255
7000,0,4.0288,9.3877,255,255,255
7250,0,4.0493,9.5752,255,255,255
7500,0,4.0648,9.7163,255,255,255
7750,0,4.0748,9.8075,255,255,255
8000,0,4.0789,9.8452,255,255,255
8250,0,4.079,9.846,255,255,255
8500,0,4.079,9.846,255,255,255
8750,0,4.079,9.846,255,255,255
9000,0,4.079,9.846,255,255,255
9250,0,4.079,9.846,255,255,255
9500,0,4.079,9.846,255,255,255
9750,0,4.079,9.846,255,255,255
10000,0,4.079,9.846,255,255,255
10250,0,4.079,9.846,255,255,255
