Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,3,0,0,255,255,255
250,3.0018,0.0025,0.0197,255,255,255
500,3.0083,0.0118,0.0933,255,255,255
750,3.0195,0.0277,0.2181,255,255,255
1000,3.0349,0.0496,0.3905,255,255,255
1250,3.0542,0.0771,0.6067,255,255,255
1500,3.0771,0.1098,0.863,255,255,255
1750,3.1033,0.1472,1.156,255,255,255
2000,3.1323,0.1889,1.4819,255,255,255
2250,3.164,0.2344,1.837,255,255,255
2500,3.1979,0.2833,2.2177,255,255,255
2750,3.2338,0.335,2.6204,255,255,255
3000,3.2713,0.3893,3.0417,255,255,255
3250,3.3102,0.4454,3.4781,255,255,255
3500,3.3502,0.5029,3.926,255,255,255
3750,3.3908,0.5614,4.382,255,255,255
4000,3.4319,0.6204,4.8423,255,255,255
4250,3.473,0.6795,5.3034,255,255,255
4500,3.514,0.7381,5.7615,255,255,255
4750,3.5543,0.7959,6.2131,255,255,255
5000,3.5937,0.8524,6.6546,255,255,255
5250,3.6319,0.9071,7.0824,255,255,255
5500,3.6686,0.9596,7.4928,255,255,255
5750,3.7034,1.0093,7.8822,255,255,255
6000,3.736,1.0559,8.247,255,255,255
6250,3.7661,1.0989,8.5836,255,255,255
6500,3.7933,1.1378,8.8883,255,255,255
6750,3.8174,1.1722,9.1575,255,255,255
7000,3.838,1.2015,9.3877,255,255,255
7250,3.8548,1.2255,9.5752,255,255,255
7500,3.8674,1.2435,9.7163,255,255,255
7750,3.8756,1.2551,9.8075,255,255,255
8000,3.8789,1.2599,9.8452,255,255,255
8250,3.879,1.26,9.846,255,255,255
8500,3.879,1.26,9.846,255,255,255
8750,3.879,1.26,9.846,255,255,255
9000,3.879,1.26,9.846,255,255,255
9250,3.879,1.26,9.846,255,255,255
9500,3.879,1.26,9.846,255,255,255
9750,3.879,1.26,9.846,255,255,255
10000,3.879,1.26,9.846,255,255,255
10250,3.879,1.26,9.846,255,255,255
