Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-3,3,0,255,255,255
250,-2.9973,3.0014,0.0197,255,255,255
500,-2.9873,3.0068,0.0933,255,255,255
750,-2.9703,3.0158,0.2181,255,255,255
1000,-2.9468,3.0284,0.3905,255,255,255
1250,-2.9174,3.0442,0.6067,255,255,255
1500,-2.8825,3.0629,0.863,255,255,255
1750,-2.8427,3.0844,1.156,255,255,255
2000,-2.7983,3.1084,1.4819,255,255,255
2250,-2.75,3.1346,1.837,255,255,255
2500,-2.6982,3.1629,2.2177,255,255,255
2750,-2.6435,3.1928,2.6204,255,255,255
3000,-2.5862,3.2242,3.0417,255,255,255
3250,-2.5268,3.2567,3.4781,255,255,255
3500,-2.4658,3.2899,3.926,255,255,255
3750,-2.4038,3.3237,4.382,255,255,255
4000,-2.3411,3.3578,4.8423,255,255,255
4250,-2.2783,3.3919,5.3034,255,255,255
4500,-2.2159,3.4257,5.7615,255,255,255
4750,-2.1543,3.459,6.2131,255,255,255
5000,-2.0942,3.4915,6.6546,255,255,255
5250,-2.0358,3.523,7.0824,255,255,255
5500,-1.9799,3.5532,7.4928,255,255,255
5750,-1.9268,3.5819,7.8822,255,255,255
6000,-1.8771,3.6087,8.247,255,255,255
6250,-1.8312,3.6334,8.5836,255,255,255
6500,-1.7896,3.6558,8.8883,255,255,255
6750,-1.7529,3.6755,9.1575,255,255,255
7000,-1.7215,3.6924,9.3877,255,255,255
7250,-1.6959,3.7062,9.5752,255,255,255
7500,-1.6767,3.7165,9.7163,255,255,255
7750,-1.6642,3.7232,9.8075,255,255,255
8000,-1.6591,3.7259,9.8452,255,255,255
8250,-1.659,3.726,9.846,255,255,255
8500,-1.659,3.726,9.846,255,255,255
8750,-1.659,3.726,9.846,255,255,255
9000,-1.659,3.726,9.846,255,255,255
9250,-1.659,3.726,9.846,255,255,255
9500,-1.659,3.726,9.846,255,255,255
9750,-1.659,3.726,9.846,255,255,255
10000,-1.659,3.726,9.846,255,255,255
10250,-1.659,3.726,9.846,255,255,255
