Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,0,0,0,255,255,255
250,0.0017,-0.008,0.0197,255,255,255
500,0.0081,-0.0378,0.0933,255,255,255
750,0.019,-0.0883,0.2181,255,255,255
1000,0.034,-0.1581,0.3905,255,255,255
1250,0.0527,-0.2457,0.6067,255,255,255
1500,0.0749,-0.3495,0.863,255,255,255
1750,0.1002,-0.4682,1.156,255,255,255
2000,0.1283,-0.6002,1.4819,255,255,255
2250,0.1589,-0.7442,1.837,255,255,255
2500,0.1916,-0.8985,2.2177,255,255,255
2750,0.2261,-1.0618,2.6204,255,255,255
3000,0.2621,-1.2326,3.0417,255,255,255
3250,0.2994,-1.4095,3.4781,255,255,255
3500,0.3378,-1.5912,3.926,255,255,255
3750,0.377,-1.776,4.382,255,255,255
4000,0.4165,-1.9626,4.8423,255,255,255
4250,0.4561,-2.1494,5.3034,255,255,255
4500,0.4956,-2.3351,5.7615,255,255,255
4750,0.5345,-2.5181,6.2131,255,255,255
5000,0.5725,-2.697,6.6546,255,255,255
5250,0.6094,-2.8704,7.0824,255,255,255
5500,0.6448,-3.0366,7.4928,255,255,255
5750,0.6784,-3.1944,7.8822,255,255,255
6000,0.7098,-3.3422,8.247,255,255,255
6250,0.7389,-3.4786,8.5836,255,255,255
6500,0.7652,-3.602,8.8883,255,255,255
6750,0.7885,-3.7111,9.1575,255,255,255
7000,0.8084,-3.8044,9.3877,255,255,255
7250,0.8246,-3.8803,9.5752,255,255,255
7500,0.8368,-3.9375,9.7163,255,255,255
7750,0.8447,-3.9744,9.8075,255,255,255
8000,0.8479,-3.9897,9.8452,255,255,255
8250,0.848,-3.99,9.846,255,255,255
8500,0.848,-3.99,9.846,255,255,255
8750,0.848,-3.99,9.846,255,255,255
9000,0.848,-3.99,9.846,255,255,255
9250,0.848,-3.99,9.846,255,255,255
9500,0.848,-3.99,9.846,255,255,255
9750,0.848,-3.99,9.846,255,255,255
10000,0.848,-3.99,9.846,255,255,255
10250,0.848,-3.99,9.846,255,255,255
